x[m],z[m],potencjal_num,potencjal_analytic
0.000000,-1.000000,0.000000,0.000000
0.000000,-0.833333,0.000000,0.000000
0.000000,-0.666667,0.000000,0.000000
0.000000,-0.500000,0.000000,0.000000
0.000000,-0.333333,0.000000,0.000000
0.000000,-0.166667,0.000000,0.000000
0.000000,0.000000,0.000000,0.000000
1.047198,-1.000000,0.110779,0.100713
1.047198,-0.833333,0.110779,0.102115
1.047198,-0.666667,0.113585,0.106360
1.047198,-0.500000,0.119268,0.113566
1.047198,-0.333333,0.127972,0.123935
1.047198,-0.166667,0.139918,0.137754
1.047198,0.000000,0.155408,0.155408
2.094395,-1.000000,0.110779,0.100713
2.094395,-0.833333,0.110779,0.102115
2.094395,-0.666667,0.113585,0.106360
2.094395,-0.500000,0.119268,0.113566
2.094395,-0.333333,0.127972,0.123935
2.094395,-0.166667,0.139918,0.137754
2.094395,0.000000,0.155408,0.155408
3.141593,-1.000000,-0.000000,0.000000
3.141593,-0.833333,-0.000000,0.000000
3.141593,-0.666667,-0.000000,0.000000
3.141593,-0.500000,-0.000000,0.000000
3.141593,-0.333333,-0.000000,0.000000
3.141593,-0.166667,-0.000000,0.000000
3.141593,0.000000,0.000000,0.000000
4.188790,-1.000000,-0.110779,-0.100713
4.188790,-0.833333,-0.110779,-0.102115
4.188790,-0.666667,-0.113585,-0.106360
4.188790,-0.500000,-0.119268,-0.113566
4.188790,-0.333333,-0.127972,-0.123935
4.188790,-0.166667,-0.139918,-0.137754
4.188790,0.000000,-0.155408,-0.155408
5.235988,-1.000000,-0.110779,-0.100713
5.235988,-0.833333,-0.110779,-0.102115
5.235988,-0.666667,-0.113585,-0.106360
5.235988,-0.500000,-0.119268,-0.113566
5.235988,-0.333333,-0.127972,-0.123935
5.235988,-0.166667,-0.139918,-0.137754
5.235988,0.000000,-0.155408,-0.155408
6.283185,-1.000000,-0.000000,-0.000000
6.283185,-0.833333,-0.000000,-0.000000
6.283185,-0.666667,-0.000000,-0.000000
6.283185,-0.500000,-0.000000,-0.000000
6.283185,-0.333333,-0.000000,-0.000000
6.283185,-0.166667,-0.000000,-0.000000
6.283185,0.000000,-0.000000,-0.000000
